proto,id
tcp,1
tcp,2
tcp,3
tcp,4
tcp,5
tcp,6
tcp,7
tcp,8
tcp,9
tcp,10
tcp,11
tcp,12
tcp,13
tcp,14
tcp,15
udp,16
tcp,17
tcp,18
tcp,19
tcp,20
tcp,21
tcp,22
tcp,23
tcp,24
tcp,25
tcp,26
tcp,27
tcp,28
tcp,29
udp,30
tcp,31
tcp,32
tcp,33
udp,34
tcp,35
tcp,36
udp,37
tcp,38
tcp,39
tcp,40
tcp,41
tcp,42
udp,43
tcp,44
tcp,45
tcp,46
tcp,47
tcp,48
tcp,49
udp,50
tcp,51
tcp,52
tcp,53
arp,54
udp,55
tcp,56
tcp,57
arp,58
arp,59
udp,60
tcp,61
tcp,62
tcp,63
tcp,64
tcp,65
ospf,66
ospf,67
tcp,68
tcp,69
arp,70
tcp,71
udp,72
tcp,73
udp,74
udp,75
arp,76
udp,77
udp,78
udp,79
udp,80
udp,81
udp,82
udp,83
udp,84
udp,85
udp,86
udp,87
udp,88
udp,89
udp,90
udp,91
tcp,92
udp,93
tcp,94
udp,95
udp,96
udp,97
tcp,98
udp,99
udp,100
tcp,101
udp,102
udp,103
tcp,104
udp,105
tcp,106
udp,107
udp,108
tcp,109
udp,110
udp,111
tcp,112
udp,113
tcp,114
udp,115
udp,116
tcp,117
udp,118
tcp,119
udp,120
udp,121
tcp,122
udp,123
udp,124
tcp,125
udp,126
tcp,127
udp,128
udp,129
tcp,130
udp,131
udp,132
udp,133
tcp,134
udp,135
udp,136
udp,137
tcp,138
udp,139
udp,140
arp,141
icmp,142
udp,143
tcp,144
udp,145
tcp,146
udp,147
udp,148
tcp,149
tcp,150
tcp,151
tcp,152
udp,153
udp,154
udp,155
tcp,156
udp,157
tcp,158
udp,159
udp,160
tcp,161
udp,162
tcp,163
udp,164
udp,165
tcp,166
udp,167
tcp,168
tcp,169
udp,170
tcp,171
udp,172
udp,173
tcp,174
udp,175
tcp,176
udp,177
tcp,178
udp,179
udp,180
tcp,181
udp,182
udp,183
tcp,184
udp,185
